Price,Close
Ticker,RELIANCE.NS
Date,
2020-01-01,672.2161865234375
2020-01-02,683.6602783203125
2020-01-03,684.4840087890625
2020-01-06,668.6092529296875
2020-01-07,678.8956298828125
2020-01-08,673.7969970703125
2020-01-09,689.3154296875
2020-01-10,689.1596069335938
2020-01-13,687.4007568359375
2020-01-14,681.032958984375
2020-01-15,678.5615844726562
2020-01-16,684.8179321289062
2020-01-17,704.0101928710938
2020-01-20,682.3467407226562
2020-01-21,683.036865234375
2020-01-22,682.7919311523438
2020-01-23,679.8975830078125
2020-01-24,677.5374145507812
2020-01-27,670.8580932617188
2020-01-28,655.3617553710938
2020-01-29,658.9686279296875
2020-01-30,642.8935546875
2020-01-31,628.599609375
2020-02-03,616.955078125
2020-02-04,635.167724609375
2020-02-05,645.0086669921875
2020-02-06,649.14990234375
2020-02-07,638.3961181640625
2020-02-10,639.264404296875
2020-02-11,646.9011840820312
2020-02-12,654.7161865234375
2020-02-13,656.4305419921875
2020-02-14,662.4197387695312
2020-02-17,658.256103515625
2020-02-18,653.4247436523438
2020-02-19,669.6333618164062
2020-02-20,661.6849365234375
2020-02-24,643.4278564453125
2020-02-25,630.7149047851562
2020-02-26,619.8495483398438
2020-02-27,617.2892456054688
2020-02-28,591.64013671875
2020-03-02,586.0740356445312
2020-03-03,597.96337890625
2020-03-04,596.5606689453125
2020-03-05,583.8475952148438
2020-03-06,565.9689331054688
2020-03-09,496.12457275390625
2020-03-11,513.6691284179688
2020-03-12,473.3477783203125
2020-03-13,492.1837158203125
2020-03-16,452.2853698730469
2020-03-17,448.85662841796875
2020-03-18,431.2674560546875
2020-03-19,408.6465759277344
2020-03-20,453.2872619628906
2020-03-23,393.6623840332031
2020-03-24,420.090576171875
2020-03-25,481.9197082519531
2020-03-26,474.7726745605469
2020-03-27,474.5055847167969
2020-03-30,458.8534240722656
2020-03-31,495.9464416503906
2020-04-01,481.1181640625
2020-04-03,479.78228759765625
2020-04-07,537.0693359375
2020-04-08,530.8574829101562
2020-04-09,543.2367553710938
2020-04-13,529.5216064453125
2020-04-15,512.0215454101562
2020-04-16,520.1259765625
2020-04-17,545.0401000976562
2020-04-20,553.85693359375
2020-04-21,550.9848022460938
2020-04-22,607.2032470703125
2020-04-23,610.453857421875
2020-04-24,630.9820556640625
2020-04-27,636.6594848632812
2020-04-28,635.947021484375
2020-04-29,635.4127197265625
2020-04-30,652.8013305664062
2020-05-04,639.0862426757812
2020-05-05,650.4190673828125
2020-05-06,650.4635620117188
2020-05-07,671.0361328125
2020-05-08,695.4606323242188
2020-05-11,702.1399536132812
2020-05-12,658.7015380859375
2020-05-13,672.677001953125
2020-05-14,645.4812622070312
2020-05-15,656.0224609375
2020-05-18,647.6389770507812
2020-05-19,633.3218383789062
2020-05-20,644.4699096679688
2020-05-21,647.86376953125
2020-05-22,643.5034790039062
2020-05-26,640.1321411132812
2020-05-27,649.796630859375
2020-05-28,661.7987060546875
2020-05-29,658.27001953125
2020-06-01,683.42041015625
2020-06-02,690.3204345703125
2020-06-03,692.9951171875
2020-06-04,710.1441040039062
2020-06-05,710.9981079101562
2020-06-08,705.5140991210938
2020-06-09,690.9722290039062
2020-06-10,706.7052612304688
2020-06-11,691.219482421875
2020-06-12,714.1897583007812
2020-06-15,725.7647705078125
2020-06-16,727.1807250976562
2020-06-17,726.1243896484375
2020-06-18,744.3521728515625
2020-06-19,790.876953125
2020-06-22,784.9208984375
2020-06-23,773.5706176757812
2020-06-24,776.6947631835938
2020-06-25,772.2220458984375
2020-06-26,782.898193359375
2020-06-29,774.5820922851562
2020-06-30,766.0188598632812
2020-07-01,781.07763671875
2020-07-02,794.524169921875
2020-07-03,806.9586791992188
2020-07-06,835.799560546875
2020-07-07,823.0040283203125
2020-07-08,811.517333984375
2020-07-09,823.3650512695312
2020-07-10,847.6473999023438
2020-07-13,873.3514404296875
2020-07-14,865.227294921875
2020-07-15,832.2791137695312
2020-07-16,832.00830078125
2020-07-17,862.8351440429688
2020-07-20,866.5361938476562
2020-07-21,889.8480224609375
2020-07-22,904.4942016601562
2020-07-23,928.7765502929688
2020-07-24,968.6528930664062
2020-07-27,973.1889038085938
2020-07-28,982.8927001953125
2020-07-29,946.3112182617188
2020-07-30,951.8177490234375
2020-07-31,932.9740600585938
2020-08-03,906.7509765625
2020-08-04,970.6613159179688
2020-08-05,959.7613525390625
2020-08-06,963.2141723632812
2020-08-07,968.7882080078125
2020-08-10,956.7824096679688
2020-08-11,963.0787963867188
2020-08-12,960.2803955078125
2020-08-13,957.775390625
2020-08-14,954.0518798828125
2020-08-17,943.9192504882812
2020-08-18,956.19580078125
2020-08-19,962.063232421875
2020-08-20,946.4918212890625
2020-08-21,939.63134765625
2020-08-24,945.9050903320312
2020-08-25,939.7442016601562
2020-08-26,964.658447265625
2020-08-27,952.6076049804688
2020-08-28,955.1124877929688
2020-08-31,939.1124267578125
2020-09-01,942.0687255859375
2020-09-02,960.5512084960938
2020-09-03,953.2845458984375
